topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,timepoint
0.043209612,0.075662486,0.04374691,0.07168648,0.048367687,0.035902344,0.05760923,0.05202132,0.041597717,0.049657203,0.055460036,0.052881002,0.08103548,0.05438544,0.06695824,0.056534633,0.05857637,0.054707818,26
0.014481088,0.017570822,0.014155854,0.025213843,0.015863337,0.013830618,0.017082969,0.027083945,0.014887632,0.016188571,0.03513351,0.019684847,0.039280254,0.02342505,0.63681823,0.030824147,0.014562397,0.023912903,27
0.0009210066,0.00054042536,0.00084489037,0.00084489037,0.0006926579,0.0006165416,0.0006926579,0.00076877413,0.00076877413,0.00084489037,0.0006165416,0.0006165416,0.0011493553,0.00076877413,0.9865503,0.00084489037,0.0006926579,0.0012254716,28
0.04083847,0.044454556,0.04527109,0.03360629,0.044454556,0.06463466,0.052619915,0.09391331,0.0535531,0.051570084,0.045154445,0.03710573,0.040955115,0.03675579,0.15946949,0.05075355,0.044687852,0.060202032,29
0.030019943,0.031665668,0.03660284,0.08907239,0.032343317,0.05257604,0.051027123,0.056351524,0.038248565,0.03805495,0.084038414,0.042895313,0.05015586,0.02730934,0.16429166,0.050639894,0.079391666,0.045315497,30
0.15673089,0.039862145,0.08489013,0.058660235,0.043650907,0.034251865,0.042630855,0.037967764,0.07971701,0.09217621,0.0462739,0.02915161,0.041319363,0.035854805,0.03651055,0.044015214,0.06172039,0.03461617,31
0.011696127,0.011545307,0.00611577,0.0076239742,0.012148589,0.009283,0.010489563,0.005587898,0.010489563,0.83962506,0.008453487,0.006945282,0.005889539,0.006869872,0.023233892,0.0076239742,0.006417411,0.009961693,32
0.061253667,0.037549116,0.04714162,0.05424376,0.042345367,0.0924293,0.061438136,0.07020052,0.06900146,0.040869597,0.060608014,0.05544282,0.04548138,0.06328285,0.06116143,0.03598111,0.054797173,0.046772677,33
0.009076736,0.007352831,0.005703878,0.005703878,0.005404068,0.0063784495,0.009076736,0.005479021,0.86825615,0.0065283542,0.007352831,0.0063784495,0.0044296873,0.0065283542,0.013723786,0.0070530213,0.020544454,0.0050293063,34
0.050894264,0.053597033,0.06746339,0.040318225,0.04396108,0.053597033,0.05136431,0.07756939,0.08556018,0.06828597,0.05653482,0.04595878,0.041258316,0.05441961,0.062292885,0.041963384,0.054654635,0.050306708,35
0.04423808,0.058263958,0.059395075,0.03960049,0.060413085,0.054305043,0.05690662,0.06674735,0.043220073,0.043446295,0.064598225,0.05113791,0.043446295,0.09264999,0.039148044,0.06210976,0.07409963,0.046274096,36
0.03550774,0.043484766,0.039197113,0.028428128,0.0624302,0.036704294,0.034012046,0.10221562,0.04896897,0.031618938,0.034710035,0.036305442,0.04647615,0.05225949,0.031818364,0.24231215,0.06362675,0.02992382,37
0.005904678,0.008115478,0.009497227,0.0070100776,0.005904678,0.009036644,0.009773578,0.006641611,0.016682327,0.0061810277,0.005628328,0.0059967944,0.007747011,0.0061810277,0.0054440945,0.007654894,0.8686693,0.007931245,38
0.035058796,0.030081505,0.04179888,0.034125555,0.036821585,0.045117073,0.03163691,0.03142952,0.030081505,0.037028972,0.019089986,0.027903939,0.033710778,0.04397644,0.029770425,0.05206454,0.045842927,0.3944607,39
0.0062918277,0.0129685495,0.006920225,0.007391523,0.006920225,0.008726867,0.006213278,0.0051135826,0.005977629,0.009276715,0.007391523,0.008255569,0.008334119,0.8609121,0.0058205295,0.007784271,0.009512364,0.016189085,40
0.060883574,0.049855117,0.046719577,0.050179485,0.045205865,0.033853043,0.066505924,0.04736831,0.034718018,0.04434089,0.053639393,0.041421592,0.03990788,0.14954373,0.033312432,0.041962203,0.06391099,0.096672,41
0.06656232,0.039963663,0.047625825,0.047844745,0.050690692,0.04171501,0.050800152,0.04642177,0.0606515,0.0606515,0.10312179,0.06087042,0.06273123,0.047516365,0.047844745,0.061855555,0.05890015,0.04423258,42
0.04578883,0.065816805,0.03943074,0.054054342,0.07906282,0.045153018,0.04790819,0.07090327,0.038688965,0.05416031,0.13289462,0.045470923,0.036463633,0.049921587,0.07175101,0.04239785,0.04695448,0.03317862,43
