word,prob,k,sort
requirement,0.012,12,18
inflow,0.011,12,19
surplus,0.011,12,20
lifetime_mortgage,0.009,12,21
deposit,0.009,12,22
loan,0.009,12,23
bpa,0.008,12,24
appetite,0.008,12,25
saving,0.008,12,26
scale,0.008,12,27
meet,0.007,12,28
financing,0.007,12,29
competition,0.007,12,30
buyout,0.007,12,31
flexibility,0.007,12,32
revenue,0.007,12,33
headroom,0.007,12,34
cetera,0.006,12,35
mortgage,0.006,12,36
administration,0.006,12,37
indication,0.006,12,38
proportion,0.006,12,39
buy,0.006,12,40
sector,0.006,12,41
strength,0.006,12,42
workplace,0.005,12,43
redemption,0.005,12,44
context,0.005,12,45
profile,0.005,12,46
shape,0.005,12,47
confit,0.005,12,48
capability,0.005,12,49
audit,0.03,13,0
statement,0.03,13,1
report,0.03,13,2
review,0.03,13,3
auditor,0.021,13,4
disclosure,0.019,13,5
assessment,0.018,13,6
matter,0.018,13,7
analysis,0.016,13,8
judgment,0.016,13,9
porate,0.016,13,10
valuation,0.013,13,11
fraud,0.013,13,12
conclusion,0.01,13,13
scope,0.01,13,14
governance,0.01,13,15
consiation,0.009,13,16
coment,0.009,13,17
opinion,0.009,13,18
standard,0.009,13,19
committee,0.009,13,20
provision,0.009,13,21
attention,0.008,13,22
evice,0.008,13,23
policyhol,0.008,13,24
test,0.008,13,25
board,0.007,13,26
aspect,0.007,13,27
reporting,0.007,13,28
relet,0.007,13,29
actuary,0.007,13,30
role,0.007,13,31
procedure,0.006,13,32
material,0.006,13,33
category,0.006,13,34
meet,0.006,13,35
cetera,0.006,13,36
implementation,0.006,13,37
problem,0.006,13,38
requirement,0.006,13,39
method,0.006,13,40
sustainability,0.006,13,41
exercise,0.006,13,42
mos,0.006,13,43
measure,0.006,13,44
kpi,0.006,13,45
compliance,0.006,13,46
function,0.005,13,47
consolidation,0.005,13,48
authority,0.005,13,49
regulator,0.059,14,0
rule,0.037,14,1
conversation,0.02,14,2
approval,0.018,14,3
outcome,0.013,14,4
son,0.013,14,5
uncertainty,0.013,14,6
transition,0.011,14,7
concern,0.011,14,8
statement,0.01,14,9
clarity,0.009,14,10
news,0.009,14,11
problem,0.009,14,12
piece,0.009,14,13
scenario,0.009,14,14
timing,0.009,14,15
framework,0.009,14,16
formula,0.008,14,17
regime,0.008,14,18
crisis,0.008,14,19
consequence,0.008,14,20
step,0.008,14,21
firm,0.007,14,22
requirement,0.007,14,23
uary,0.007,14,24
dialogue,0.006,14,25
phase,0.006,14,26
board,0.006,14,27
debate,0.006,14,28
surprise,0.006,14,29
review,0.006,14,30
application,0.005,14,31
guarantee,0.005,14,32
standard,0.005,14,33
chance,0.005,14,34
direction,0.005,14,35
flexibility,0.005,14,36
authority,0.005,14,37
liquidity,0.005,14,38
behavior,0.005,14,39
conclusion,0.005,14,40
resttion,0.005,14,41
mos,0.005,14,42
jurisdiction,0.005,14,43
topic,0.005,14,44
certainty,0.005,14,45
unstanding,0.005,14,46
government,0.005,14,47
path,0.005,14,48
matter,0.005,14,49
car,0.11,15,0
competition,0.047,15,1
player,0.036,15,2
comparison,0.035,15,3
vehicle,0.024,15,4
travel,0.022,15,5
insurer,0.019,15,6
drop,0.017,15,7
instance,0.016,15,8
sector,0.016,15,9
repair,0.014,15,10
house,0.013,15,11
behavior,0.013,15,12
site,0.012,15,13
sharing,0.012,15,14
household,0.01,15,15
road,0.009,15,16
cross,0.009,15,17
peer,0.008,15,18
technology,0.008,15,19
majority,0.008,15,20
drive,0.008,15,21
pain,0.008,15,22
tariff,0.008,15,23
telematic,0.008,15,24
accit,0.007,15,25
combination,0.007,15,26
competitiveness,0.006,15,27
cycle,0.006,15,28
penetration,0.006,15,29
municipality,0.006,15,30
website,0.006,15,31
injury,0.006,15,32
box,0.006,15,33
marketing,0.006,15,34
feature,0.005,15,35
offer,0.005,15,36
reality,0.005,15,37
telematics,0.005,15,38
content,0.005,15,39
concern,0.005,15,40
policyhol,0.005,15,41
conversion,0.005,15,42
length,0.004,15,43
rebate,0.004,15,44
lapse,0.004,15,45
shift,0.004,15,46
traffic,0.004,15,47
survey,0.004,15,48
discount,0.004,15,49
auto,0.074,16,0
weather,0.056,16,1
state,0.041,16,2
worker_comp,0.032,16,3
severity,0.032,16,4
damage,0.026,16,5
accit,0.021,16,6
coverage,0.021,16,7
storm,0.017,16,8
winter,0.016,16,9
automobile,0.014,16,10
flood,0.014,16,11
homeowner,0.012,16,12
interruption,0.012,16,13
peril,0.012,16,14
standpoint,0.011,16,15
injury,0.011,16,16
water,0.009,16,17
pattern,0.009,16,18
pool,0.009,16,19
reform,0.008,16,20
comp,0.008,16,21
exclusion,0.007,16,22
wind,0.007,16,23
measure,0.007,16,24
wording,0.007,16,25
pandemic,0.006,16,26
degree,0.006,16,27
dynamic,0.005,16,28
segmentation,0.005,16,29
deterioration,0.005,16,30
histoal,0.005,16,31
mos,0.005,16,32
province,0.005,16,33
noise,0.005,16,34
mile,0.005,16,35
region,0.005,16,36
achusetts,0.005,16,37
hail,0.005,16,38
cetera,0.005,16,39
worker_compensation,0.005,16,40
coment,0.004,16,41
wildfire,0.004,16,42
unwriting,0.004,16,43
average,0.004,16,44
indemnity,0.004,16,45
aggregate,0.004,16,46
nature,0.004,16,47
expansion,0.004,16,48
car,0.004,16,49
capability,0.032,17,0
adtage,0.028,17,1
marketplace,0.025,17,2
organization,0.02,17,3
scale,0.019,17,4
unwriter,0.018,17,5
retention,0.015,17,6
unwrite,0.014,17,7
strength,0.013,17,8
cycle,0.011,17,9
skill,0.011,17,10
player,0.01,17,11
talent,0.01,17,12
unwriting,0.01,17,13
discip,0.01,17,14
expertise,0.01,17,15
brand,0.01,17,16
franchise,0.009,17,17
core,0.009,17,18
tool,0.009,17,19
class,0.009,17,20
relationship,0.009,17,21
track_record,0.009,17,22
success,0.009,17,23
job,0.009,17,24
insight,0.009,17,25
leaship,0.008,17,26
challenge,0.007,17,27
set,0.007,17,28
journey,0.007,17,29
culture,0.007,17,30
combination,0.007,17,31
analytic,0.007,17,32
strategy,0.006,17,33
piece,0.006,17,34
conversation,0.006,17,35
efficiency,0.006,17,36
history,0.006,17,37
geography,0.005,17,38
field,0.005,17,39
technology,0.005,17,40
decade,0.005,17,41
board,0.005,17,42
access,0.005,17,43
legacy,0.005,17,44
presence,0.005,17,45
execution,0.005,17,46
colleague,0.005,17,47
broker,0.005,17,48
context,0.005,17,49
agreement,0.047,18,0
entity,0.043,18,1
payout,0.039,18,2
measure,0.039,18,3
subsidiary,0.027,18,4
region,0.02,18,5
payment,0.019,18,6
hold,0.018,18,7
bonus,0.017,18,8
evolution,0.014,18,9
stake,0.013,18,10
peer,0.011,18,11
intention,0.011,18,12
instance,0.01,18,13
decrease,0.01,18,14
discount,0.01,18,15
message,0.01,18,16
framework,0.009,18,17
charge,0.009,18,18
potential,0.009,18,19
minority,0.009,18,20
core,0.009,18,21
step,0.009,18,22
relation,0.008,18,23
disclosure,0.008,18,24
capitalization,0.008,18,25
possibility,0.008,18,26
ownership,0.008,18,27
oﬀs,0.007,18,28
function,0.007,18,29
injection,0.007,18,30
union,0.006,18,31
context,0.006,18,32
relationship,0.006,18,33
commitment,0.006,18,34
disposal,0.006,18,35
creation,0.006,18,36
ipo,0.006,18,37
restructure,0.006,18,38
definition,0.006,18,39
consiation,0.005,18,40
upstream,0.005,18,41
upstreaming,0.005,18,42
diversification,0.005,18,43
majority,0.005,18,44
lack,0.005,18,45
restructuring,0.005,18,46
circumstance,0.005,18,47
addition,0.005,18,48
light,0.005,18,49
health,0.083,19,0
disability,0.038,19,1
accit,0.023,19,2
runoff,0.022,19,3
employee,0.021,19,4
care,0.016,19,5
network,0.014,19,6
force,0.013,19,7
license,0.013,19,8
employer,0.011,19,9
war,0.011,19,10
illness,0.01,19,11
channel,0.01,19,12
hospital,0.01,19,13
access,0.01,19,14
pattern,0.009,19,15
cetera,0.009,19,16
problem,0.008,19,17
unwriting,0.008,19,18
piece,0.008,19,19
total,0.008,19,20
unwrite,0.008,19,21
triangle,0.007,19,22
commutation,0.007,19,23
dimension,0.007,19,24
prevention,0.007,19,25
diligence,0.007,19,26
ecosystem,0.006,19,27
landscape,0.006,19,28
journey,0.006,19,29
wheel,0.006,19,30
discipd,0.006,19,31
population,0.006,19,32
person,0.005,19,33
instance,0.005,19,34
safety,0.005,19,35
ﬁeld,0.005,19,36
individual,0.005,19,37
gap,0.005,19,38
sustainability,0.005,19,39
medium,0.005,19,40
healthcare,0.005,19,41
pilot,0.005,19,42
doctor,0.005,19,43
intermediary,0.005,19,44
recognition,0.005,19,45
payment,0.005,19,46
sickness,0.005,19,47
institution,0.005,19,48
inflow,0.005,19,49
demand,0.042,20,0
cover,0.041,20,1
retention,0.039,20,2
coverage,0.021,20,3
aggregate,0.019,20,4
energy,0.018,20,5
retro,0.017,20,6
layer,0.016,20,7
peak,0.014,20,8
net,0.014,20,9
surety,0.013,20,10
uary,0.013,20,11
supply,0.013,20,12
hurane,0.012,20,13
recovery,0.012,20,14
excess,0.011,20,15
construction,0.011,20,16
stuff,0.011,20,17
catastrophe,0.011,20,18
season,0.011,20,19
ship,0.01,20,20
storm,0.008,20,21
wind,0.007,20,22
zone,0.007,20,23
purchase,0.007,20,24
pml,0.007,20,25
unwriter,0.006,20,26
difficulty,0.006,20,27
reinsurer,0.006,20,28
write,0.006,20,29
buyer,0.006,20,30
economic,0.006,20,31
sign,0.006,20,32
allowance,0.006,20,33
trade,0.006,20,34
territory,0.005,20,35
post,0.005,20,36
piece,0.005,20,37
deductible,0.005,20,38
reinstatement,0.005,20,39
quota,0.005,20,40
dynamic,0.005,20,41
percent,0.005,20,42
appetite,0.005,20,43
role,0.005,20,44
wind_season,0.005,20,45
majority,0.005,20,46
light,0.005,20,47
raise,0.004,20,48
pandemic,0.004,20,49
synergy,0.091,21,0
catastrophe,0.035,21,1
forecast,0.03,21,2
merger,0.029,21,3
integration,0.029,21,4
provision,0.027,21,5
cyber,0.026,21,6
disaster,0.022,21,7
projection,0.02,21,8
revision,0.019,21,9
coverage,0.013,21,10
payment,0.013,21,11
consumption,0.013,21,12
yen,0.012,21,13
expansion,0.012,21,14
automobile,0.011,21,15
rating,0.011,21,16
budget,0.01,21,17
entity,0.01,21,18
security,0.01,21,19
calculation,0.01,21,20
hike,0.009,21,21
midterm,0.009,21,22
unwrite,0.009,21,23
breakdown,0.008,21,24
reversal,0.008,21,25
effort,0.008,21,26
ehquake,0.007,21,27
timing,0.007,21,28
subsidiary,0.007,21,29
tariff,0.006,21,30
possibility,0.006,21,31
cetera,0.006,21,32
total,0.006,21,33
amortization,0.006,21,34
scale,0.006,21,35
attack,0.006,21,36
apple,0.006,21,37
progress,0.006,21,38
diversification,0.006,21,39
breach,0.006,21,40
consiation,0.006,21,41
ing,0.006,21,42
accumulation,0.006,21,43
potential,0.005,21,44
measure,0.005,21,45
consolidation,0.005,21,46
phase,0.005,21,47
flood,0.005,21,48
method,0.005,21,49
opinion_transcript_solicitation_purchase,0.139,22,0
supprs_agent_error_transcript,0.139,22,1
security_commodity_opinion_transcript,0.139,22,2
damage_connection_furnish_transcript,0.136,22,3
copyright_lp_reproduction_redistribution,0.095,22,4
retransmission,0.095,22,5
picipation,0.044,22,6
inaccuracy_transcript_warranty_transcript,0.043,22,7
attention,0.014,22,8
rus,0.013,22,9
picipating,0.008,22,10
handset,0.007,22,11
tomorrow,0.006,22,12
session,0.005,22,13
attendance,0.005,22,14
personal,0.005,22,15
picipate,0.004,22,16
summer,0.004,22,17
transcript,0.004,22,18
phone,0.004,22,19
telephone,0.004,22,20
room,0.004,22,21
webcast,0.004,22,22
road,0.003,22,23
spa,0.003,22,24
damage_connection,0.003,22,25
goodbye,0.002,22,26
holiday,0.002,22,27
nut,0.002,22,28
lunch,0.002,22,29
facility,0.002,22,30
plc,0.001,22,31
touch,0.001,22,32
kfurt,0.001,22,33
roadshow,0.001,22,34
dial,0.001,22,35
coﬀee,0.001,22,36
web,0.001,22,37
breakfast,0.001,22,38
estic,0.001,22,39
bye,0.001,22,40
tmas,0.001,22,41
hour,0.001,22,42
complexion,0.001,22,43
interpreter,0.001,22,44
thermodynamic,0.001,22,45
halt,0.001,22,46
weekend,0.001,22,47
cou,0.001,22,48
htb,0.001,22,49
stock,0.108,23,0
impairment,0.023,23,1
compensation,0.023,23,2
remuneration,0.02,23,3
goodwill,0.019,23,4
employee,0.017,23,5
repurchase,0.016,23,6
report,0.015,23,7
valuation,0.014,23,8
board,0.013,23,9
incentive,0.012,23,10
security,0.011,23,11
option,0.009,23,12
purpose,0.009,23,13
purchase,0.009,23,14
peer,0.009,23,15
cap,0.008,23,16
circumstance,0.008,23,17
stakehol,0.008,23,18
hold,0.008,23,19
flexibility,0.007,23,20
math,0.007,23,21
principle,0.007,23,22
objective,0.007,23,23
indicator,0.007,23,24
salary,0.007,23,25
meeting,0.007,23,26
authorization,0.007,23,27
game,0.007,23,28
payment,0.007,23,29
ing,0.007,23,30
multiple,0.007,23,31
consiation,0.006,23,32
commitment,0.006,23,33
rule,0.006,23,34
statement,0.005,23,35
pay,0.005,23,36
goal,0.005,23,37
bonus,0.005,23,38
standard,0.005,23,39
worth,0.005,23,40
opinion,0.005,23,41
variable,0.004,23,42
discount,0.004,23,43
member,0.004,23,44
communication,0.004,23,45
adtage,0.004,23,46
matter,0.004,23,47
transparency,0.004,23,48
governance,0.004,23,49
mortality,0.08,24,0
longevity,0.045,24,1
reform,0.027,24,2
table,0.024,24,3
uncertainty,0.021,24,4
court,0.02,24,5
death,0.019,24,6
settlement,0.018,24,7
lockdown,0.018,24,8
provision,0.018,24,9
age,0.018,24,10
